"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Burkina Faso","BFA","GNI (current US$)","NY.GNP.MKTP.CD","334894682.092364","353437390.317974","388060887.218984","397465363.444254","413758192.233887","419289007.933023","432185666.746162","449034396.771284","458847289.024177","476700187.621528","458404268.761971","481906450.808234","577291724.45051","674535350.152008","748879457.543383","927901103.013398","967025163.798155","1111036713.833","1464483405.39439","1739271445.26957","1924639586.16346","1766034842.49576","1744188156.6995","1590193580.51632","1454929984.52162","1546793233.87715","2030903449.74309","2361034849.39713","2602940400.66092","2603687670.83392","3093954988.40636","3125829219.943","3344716312.9167","3180859979.73624","1881026831.58861","2369479874.70965","2593450483.0717","2445476192.29881","2802105765.33989","3393482477.33794","2964619500.18339","3178291925.47716","3588060178.93616","4686123788.38184","5406279936.20608","6082308541.21132","6528831607.36995","7603256499.99443","9414697518.37982","9333203850.05682","9807542782.09475","11592644774.9473","12243495087.5098","13080707616.4124","13337500892.7969","11293125664.7767","12261728232.1903","13577334630.1408","15387936815.3249","15326465624.9088","17105876297.3224","18774177401.4576","18029664976.7055","19484760476.5981","22241127443.7655",
"Bangladesh","BGD","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","8108053514.97237","12522859678.6342","19439919254.1685","10105296949.4949","9608855565.61086","13238224497.3545","15535719093.2983","18156941569.7674","20590758873.929","18847155688.6228","18122979797.9798","19452920000","22655346153.8462","22202166666.6667","24866935483.871","27184294000.5034","29418568811.1258","32234055025.2854","31618548375.3501","32478635867.374","34069217830.6878","34824471356.6085","39096763694.0298","47649633251.8337","49613348946.1358","51415660792.9515","52841410149.7504","55101749155.2375","55629781319.4959","56908044576.0056","62584110535.4059","67925445897.7408","72555189959.7365","75845565709.4239","84719578977.2493","98690272434.7262","110599840405.017","124613272943.348","138790366566.139","144592846556.493","162063337208.742","184408668144.279","207815026631.717","277650511849.492","303873962973.372","334213984192.582","365618637342.157","389459167662.235","438182167775.955","478360553749.872","454873456328.939","469502745314.14",
"Bulgaria","BGR","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","19525307692.3077","19672285714.2857","19187533333.3333","16484500000","17556333333.3333","17092578947.3684","20117823529.4118","27786846153.8462","22134941176.4706","21351666666.6667","18995909090.9091","6854283786.82258","8461805406.79491","10639341885.9172","9516553367.56936","18559500379.6281","11898890319.244","10959229231.1159","14747553565.8088","13452266602.3373","12922579411.5223","14208346103.9187","16746547984.4485","21488758770.9831","26463249590.9807","29952160205.0144","33529451338.3532","41157558937.7559","51846141511.9245","50357535978.025","49628003265.2133","55875515657.0619","53576945566.8342","54583767823.2479","56452998711.8289","49115808206.7558","52131262718.8721","57717185895.5964","63839066239.7211","66482183599.4784","68001733929.255","81044834394.0379","85608912115.3116","97386503457.4981","106859640847.854",
"Bahrain","BHR","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","2864420270.62881","3440957446.80851","3634308510.6383","3746276595.74468","3793882978.7234","3281648936.17021","2655319148.93617","2995744414.89362","3271276595.74468","3503191489.3617","4451329787.23404","4807446808.51064","4783244680.85106","5006382978.7234","5325000265.95745","5790573404.25532","6076647606.38298","6113085372.34043","6021789095.74468","6350622872.34043","8839275265.95745","8654625797.87234","9068566223.40425","10581836436.1702","12575387234.0426","15556372074.4681","18119833244.6809","21431313829.7872","24787226861.7021","20538353191.4894","24432970744.6809","26150319148.9362","30955957446.8085","32627579787.234","33139813829.7872","30787393617.0213","32089202127.6596","35215186170.2128","37491914893.617","38186170212.766","33378590425.5319","38312287234.0426","44495425531.9149","43584813829.7872","45181298274.7303",
"Bahamas, The","BHS","GNI (current US$)","NY.GNP.MKTP.CD","149547827.927652","167383830.781413","186983735.917398","209425739.508118","234905645.584903","264600042.336007","305500000","350700000","399800000","474700000","510477700","542590600","559130400","634848200","662174500","819788700","566500000","629400000","704600000","1006200100","1200800000","1274600000","1446700000","1594300000","1876000000","2140099900","2288900000","2530699900","2651000000","2930400000","2993200000","2932160000","3026400000","2963600000","3121400000","3882158500","4421275600","6179760000","6635720000","7557070000","7936270000","8118930000","8696814900","8717670000","8913970000","9654135300","9949250000","10386740000","10448200000","9829760000","9860860000","9834450000","10441120000","10177720000","10702940000","11342720000","11324860000","11901350000","11984100000","12654810000","9830610000","11325460000","13143770000","14673790000","",
"Bosnia and Herzegovina","BIH","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6411634782.6087","5063265306.12245","3915575425.43986","3002331372.53162","1090802469.1358","1624572953.73665","2564045321.63743","3443903887.76372","4925852604.01394","5414311183.98296","6096608725.96403","6281232076.35222","7158604493.37638","8903502503.27191","11099633687.3086","11690774974.8525","13256741831.038","16247592902.1842","19819060272.7989","18292268364.5254","17455986158.7009","18794204715.634","17361422536.9693","18421211485.5494","18710534545.2251","16514883084.2442","17139875880.799","18174627640.6011","20366478392.9849","20448097002.6662","20112988928.17","23371644756.9735","24213156434.1057","27433118616.3189","28254442055.717",
"Belarus","BLR","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17389558232.9317","18404907975.4601","16939790093.9054","16291596444.2682","14910455864.866","13966698417.0975","14772769230.7692","14110169491.5254","15213743767.6133","12149659045.3269","12684136546.1847","12311559712.2302","14564755544.6363","17850589634.7141","23122951403.9977","30265564438.9968","36847123885.5523","44864740363.8261","59964234225.8004","49759479064.1055","56069265840.9742","61079871266.8078","64215516438.9641","72875339440.6563","76448782777.9462","54061945285.662","45473302428.7243","52669765496.9979","57861187726.0003","62499831005.415","58875118002.111","67115938432.45","70678268154.2972","70130048048.9467","74150765471.9129",
"Belize","BLZ","GNI (current US$)","NY.GNP.MKTP.CD","27931217.9312179","29756049.7560498","31702121.7021217","33588483.5884836","36024696.024696","39900039.9000399","44240044.2400442","47224132.3601296","43439913.1201738","45719908.5601829","51599896.8002064","56823643.5028187","63063434.3222429","74111095.5947385","92347598.6994185","105915564.001761","88692274.2020054","112050000","129500000","146500000","255450000","258850000","243650000","256650000","282650000","277400000","305300000","365000000","415250000","481400000","539050000","587700000","681300000","734300000","746683400","796478700","824446250","850058550","897347950","960109250","1086000900","1105750500","1177168850","1219422150","1284105850","1360523750","1465867450","1548147200","1573722750","1597855200","1607200750","1729864700","1789236950","1913514450","2000450700","2097584100","2129392150","2141050850","2137006450","2224796150","1984213900","2342620000","2712767600","2955666850","3385850478.9108",
"Bermuda","BMU","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6780700000","6474269000","6661617000","6764352000","6657829000","6893729000","7095783000","7435279000","7460410000","7524540000","7090446000","7601356000","8297939000","8758318000","9331527171.38053",
"Bolivia","BOL","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","2701850000","3161900000","3646150000","4324500000","4181960000","5404760000","5182593750","5052568965.51724","5754435905.61225","5004377400.1259","3649842948.70127","4045923622.1622","4332811687.90278","4456873579.83834","4618982620.20708","5096262338.68661","5446168777.11339","5528799392.64957","5798722891.83223","6508561764.97425","7188749149.68869","7729236782.815","8335294701.59795","8088864460.3063","8172325473.0056","7930357003.12264","7700785216.17852","7780552284.60223","8388731804.43548","9172769524.9553","11054601174.7691","12630670333.1765","16137900474.4332","16666184074.0741","18760785455.5446","22977403393.5893","25455219536.903","28751567785.8177","31298228321.2735","31873100506.5123","33320230246.0203","36398995788.712","39311992850.9407","40059428639.6527","36212943806.0781","39377011693.1983","42744582879.8842","43866498002.8944","48305776845.152",
